theme,issue_summary,root_cause,recommended_action,confidence,evidence,ticket_id
Product Enquiry,Customer asking if replacement case is compatible with their TV.,Unknown,Verify TV model compatibility with replacement case specs and inform customer of compatibility status.,high,Customer: 'hi is replacement case compatible with my tv replacement case kindly do the needful'; Agent notes: 'reported: product enquiry. shared spec sheet. cx satisfied.',TK-250098
Audio Quality,"Microphone not functioning during meetings on Pulse 2, though music playback works.","Microphone permissions were disabled, causing mic to be unusable in meetings.","Confirm microphone permissions are enabled in the device settings; if still not working, test mic hardware or reset device.",high,"Agent notes: ""cx: mic issue | tested on call w/ cx -> permissions fixed, rslvd""",TK-249303
Account & Login,Customer could not receive OTP during login,Phone number was incorrect or not updated,"Verify the customer’s phone number, update it if necessary, and resend the OTP",high,"""OTP NOT COMING ON MY NUMBER"" and agent notes: ""checked otp logs. number updated, resolved.""",TK-251010
Delivery & Shipping,Customer has not received order; tracking shows out for delivery for a week.,"Return to Origin (RTO) confirmed, reshipped.","Confirm reshipment status, provide new tracking details, and expedite delivery to customer.",high,"Customer: ""Tracking has said out for delivery for a week now."" Agent notes: ""RTO confirmed, reshipped.""",TK-243113
Warranty & Repair,Customer’s warranty claim for a Nexa 2 watch has been pending for 15 days and they are threatening to post on Twitter.,Unknown,"Escalate the RMA status to the service centre, obtain a definitive ETA, and communicate this to the customer promptly. Offer a direct contact for follow‑up to prevent escalation on social media.",high,"""Ordered my Nexa 2 watch around Diwali. waarranty claim pending for 15 days. I already called service centre. Fix this or I am posting on twitter."" ""cx updated, eta shared. issue: warranty claim status. checked rma status.""",TK-242752
Billing & Payments,Customer has not received refund for Orbit speaker order VR897532.,Refund processing delay; refund was reprocessed after QC status check.,"Verify refund status in the payment system, confirm the amount and date to the customer, and if still pending, reprocess the refund immediately.",high,Cust contacted re refund not credited. Checked reverse pickup QC status. Refund reprocessed.,TK-252627
Delivery & Shipping,Customer has not received the Orbit Mini after payment on 03-02-2026 and has called the courier without resolution.,Unknown (delivery delay or lost package),"Check the shipment status with the courier, provide the customer with updated tracking information, and offer a resolution such as expedited shipping or a refund if the item is lost. Apologize for the inconvenience and assure them of follow‑up.",high,"""still waiting for something to show up"" and ""i already called the courier""",TK-250140
Charging & Battery,Battery drains quickly even when not in use,Hardware defect (battery),Proceed with replacement per SOP 5.4,high,issue: battery draining fast | checked fw 2.2.9 -> replacement raised after test (sop 5.4) ~Kavya,TK-250106
Billing & Payments,"Customer paid via UPI for a Fit Band, amount was deducted but no order confirmation received and requests a refund.",Payment gateway processed the payment but the order was not confirmed; an auto‑refund is scheduled to be processed within 5‑7 days.,"Inform the customer that the refund will be processed automatically within 5‑7 days, confirm the refund status, and offer to expedite if possible.",high,"""paid via UPI, amount deducted, no order confirmation"" and ""auto‑refund confirmed within 5‑7 days""",TK-246078
Delivery & Shipping,Order not delivered and tracking not updating,Lost in transit,Confirm refund has been processed and offer a replacement if the customer wishes to receive the product again,high,"""orrder not delivered, tracking not updating"" and agent notes stating ""Refund initiateed as lost in transit""",TK-249892
Delivery & Shipping,Customer has not received Pulse 2 order; tracking not updating; third attempt.,"Return to Origin due to delivery failure, likely incorrect address.","Confirm shipping address with customer, reship the product, provide new tracking number, and monitor delivery status.",high,"""Third time now. This is regarding Pulse 2. Order not delivered, tracking not updating."" and ""Cx says shipment not received. conf address w/ cx. RTO conf, reshipped.""",TK-253589
Billing & Payments,"Customer's discount code was not applied at checkout, resulting in no discount.",Promo code was invalid or ineligible for the cart.,"Confirm the refund of Rs 525 has been processed, notify the customer, and advise them to use a valid promo code or contact support if they believe the code should have worked.",high,"""promo code invalid"" and ""refund of rs 525 initiated""",TK-244852
Delivery & Shipping,Order status stuck on 'shipped' since purchase date; customer awaiting delivery of 65W charger.,Delivery delay by carrier; status not updated after shipment.,"Confirm delivery of the reshipped order, update customer status, and monitor for any further delays; if delivery fails, offer refund or replacement.",high,"""order status stuck on shipped since 24-04-2026""; ""cx states dlvry delayed. raised ticket w/ crr partner. rto conf, reshipped. will monitor.""",TK-252867
Warranty & Repair,"The Pulse 2 case does not display a charging LED when plugged in, indicating it is not charging.","The case LED is dead, as confirmed by the agent.","Offer the customer a replacement Pulse 2 case under warranty or a refund if they prefer, after confirming the warranty coverage.",high,"""escalated to warranty. issue: case no led / no charge. confirmed case led dead.""",TK-246093
Returns & Refunds,"Customer awaiting refund for Pulse purchase, refund approved but not credited yet.",Refund approved but pending credit to customer account; processing time not yet completed.,Inform customer that refund is approved and will be credited within 5-7 working days; advise to check account after that period and offer to follow up if still pending.,high,"Customer: ""Refund was promised 12 days ago and nothing."" Agent notes: ""rfnd approved, Rs 2499, 5-7 working days""",TK-246033
